Date;Type;Merchant/Description;Debit/Credit;Balance;
18/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£22.85;+£202.16;
18/11/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£3.99;+£225.01;
17/11/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£2.19;+£229.00;
17/11/2023;CARD PAYMENT;************ **** ***** ***** ** **********;-£6.00;+£231.19;
17/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.00;+£237.19;
17/11/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£2.40;+£240.19;
17/11/2023;CARD PAYMENT;**** ******* ** ****** ***** ****** ** **********;-£71.65;+£242.59;
17/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£1.50;+£314.24;
17/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£6.00;+£315.74;
17/11/2023;CARD PAYMENT;**** ******* ** *********   ** **********;-£0.01;+£321.74;
16/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.00;+£321.75;
16/11/2023;PAYMENTS;**** ******* *** ****** ******* ** *** ******* ********* ***** * ******* ** **;-£100.00;+£324.75;
16/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£3.95;+£424.75;
16/11/2023;CARD PAYMENT;********* ******* **** ***** ***** ** **********;-£2.58;+£428.70;
15/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.50;+£431.28;
15/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£5.00;+£434.78;
14/11/2023;CARD PAYMENT;******** *** **** *** **** ***** ***** ** **********;-£2.00;+£439.78;
14/11/2023;CARD PAYMENT;**** ******* ** **************   ** **********;-£12.00;+£441.78;
14/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£5.25;+£453.78;
14/11/2023;PAYMENTS;**** ******* *** ****** ******* ** **** * * ******* ********* ****** * ******* ** **;-£10.00;+£459.03;
14/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£33.64;+£469.03;
14/11/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.15;+£502.67;
14/11/2023;PAYMENTS;******** ***** *** ****** ******* ** ******** ******* ********* ******* * ******* ** ****;-£3.00;+£503.82;
14/11/2023;PAYMENTS;**** ******* *** ****** ******* ** ** *** ***** ********* ***** *** *** * ******* ** **;-£3.00;+£506.82;
14/11/2023;CREDIT IN;**** **** ****** *** *** ******* ****** ******************;+£500.00;+£509.82;
13/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£6.60;+£9.82;
12/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.00;+£16.42;
12/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£1.10;+£19.42;
12/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£2.70;+£20.52;
12/11/2023;CARD PAYMENT;******* **** ***** ***** ** **********;-£2.00;+£23.22;
11/11/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£5.49;+£25.22;
11/11/2023;CARD PAYMENT;*** * ********* ****** **** ***** ***** ** **********;-£3.50;+£30.71;
11/11/2023;CARD PAYMENT;******* *** **** ***** ***** ** **********;-£1.00;+£34.21;
11/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£13.50;+£35.21;
11/11/2023;CARD PAYMENT;****** **** **** **** ***** ***** ** **********;-£11.52;+£48.71;
11/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£34.11;+£60.23;
11/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£0.30;+£94.34;
11/11/2023;CARD PAYMENT;****** ****** **** ***** ***** ** **********;-£3.70;+£94.64;
10/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£7.60;+£98.34;
10/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£0.95;+£105.94;
10/11/2023;CREDIT IN;**** **** ****** *** ***** ***********;+£46.90;+£106.89;
09/11/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£5.16;+£59.99;
09/11/2023;CARD PAYMENT;************ **** ***** ***** ** **********;-£11.00;+£65.15;
09/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£30.99;+£76.15;
08/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£7.90;+£107.14;
08/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£115.04;
08/11/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£3.99;+£119.04;
07/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£1.65;+£123.03;
07/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£3.40;+£124.68;
06/11/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£60.00;+£128.08;
06/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.50;+£68.08;
06/11/2023;CARD PAYMENT;**** ******* ** ******************   ** **********;-£6.49;+£71.58;
06/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£36.03;+£78.07;
05/11/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£2.83;+£114.10;
05/11/2023;CARD PAYMENT;**** **** **** ***** ***** ** **********;-£8.75;+£116.93;
05/11/2023;FAST PAYMENT;****** ******** ******* ******** ******** **** ******** *;+£18.00;+£125.68;
05/11/2023;PAYMENTS;**** ******* *** ****** ******* ** ** *** ***** ********* *** * ******* ** **;-£7.00;+£107.68;
04/11/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£1.20;+£114.68;
04/11/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£10.82;+£115.88;
04/11/2023;CARD PAYMENT;****** * ******** **** ***** ***** ** **********;-£8.95;+£126.70;
04/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£1.65;+£135.65;
04/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£137.30;
04/11/2023;CARD PAYMENT;******* **** ***** ***** ** **********;-£30.00;+£141.30;
03/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£4.90;+£171.30;
03/11/2023;CARD PAYMENT;********* ****** *** **** ***** ***** ** **********;-£4.79;+£176.20;
03/11/2023;CREDIT IN;**** **** ****** *** ***** ***********;+£46.90;+£180.99;
02/11/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£2.40;+£134.09;
02/11/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£1.74;+£136.49;
02/11/2023;CARD PAYMENT;***** ****** **** **** ***** ***** ** **********;-£34.43;+£138.23;
01/11/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£14.19;+£172.66;
01/11/2023;CARD PAYMENT;******* *** *** ****** **** ***** ***** ** **********;-£9.65;+£186.85;
01/11/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£196.50;
